frame_idx,file_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1
30,0407_frame_0030.jpg,6,6,3,3,3,0.49999999991666666,0.49999999991666666,0.4999999994166666
36,0407_frame_0036.jpg,6,5,4,1,2,0.79999999984,0.6666666665555555,0.7272727266446279
42,0407_frame_0042.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
48,0407_frame_0048.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
54,0407_frame_0054.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
60,0407_frame_0060.jpg,9,8,7,1,2,0.874999999890625,0.777777777691358,0.8235294111695501
66,0407_frame_0066.jpg,8,7,6,1,2,0.8571428570204082,0.74999999990625,0.7999999993955555
72,0407_frame_0072.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
78,0407_frame_0078.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
84,0407_frame_0084.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
90,0407_frame_0090.jpg,9,8,8,0,1,0.999999999875,0.8888888887901234,0.9411764699792387
96,0407_frame_0096.jpg,8,9,7,2,1,0.777777777691358,0.874999999890625,0.8235294111695501
102,0407_frame_0102.jpg,8,9,7,2,1,0.777777777691358,0.874999999890625,0.8235294111695501
108,0407_frame_0108.jpg,7,10,7,3,0,0.69999999993,0.9999999998571428,0.8235294111833908
114,0407_frame_0114.jpg,8,9,7,2,1,0.777777777691358,0.874999999890625,0.8235294111695501
120,0407_frame_0120.jpg,8,8,7,1,1,0.874999999890625,0.874999999890625,0.8749999993906251
126,0407_frame_0126.jpg,8,8,7,1,1,0.874999999890625,0.874999999890625,0.8749999993906251
132,0407_frame_0132.jpg,9,9,8,1,1,0.8888888887901234,0.8888888887901234,0.8888888882901232
138,0407_frame_0138.jpg,9,9,8,1,1,0.8888888887901234,0.8888888887901234,0.8888888882901232
144,0407_frame_0144.jpg,9,9,8,1,1,0.8888888887901234,0.8888888887901234,0.8888888882901232
150,0407_frame_0150.jpg,7,11,7,4,0,0.6363636363057851,0.9999999998571428,0.7777777772160493
156,0407_frame_0156.jpg,8,12,7,5,1,0.5833333332847223,0.874999999890625,0.6999999994499999
162,0407_frame_0162.jpg,9,9,8,1,1,0.8888888887901234,0.8888888887901234,0.8888888882901232
168,0407_frame_0168.jpg,9,9,9,0,0,0.9999999998888889,0.9999999998888889,0.9999999993888888
174,0407_frame_0174.jpg,8,9,8,1,0,0.8888888887901234,0.999999999875,0.9411764699792387
180,0407_frame_0180.jpg,9,8,7,1,2,0.874999999890625,0.777777777691358,0.8235294111695501
186,0407_frame_0186.jpg,11,8,7,1,4,0.874999999890625,0.6363636363057851,0.736842104698061
192,0407_frame_0192.jpg,10,8,7,1,3,0.874999999890625,0.69999999993,0.7777777771975308
198,0407_frame_0198.jpg,10,7,5,2,5,0.7142857141836735,0.49999999995,0.5882352935640139
204,0407_frame_0204.jpg,8,7,6,1,2,0.8571428570204082,0.74999999990625,0.7999999993955555
210,0407_frame_0210.jpg,8,8,7,1,1,0.874999999890625,0.874999999890625,0.8749999993906251
216,0407_frame_0216.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
222,0407_frame_0222.jpg,8,8,8,0,0,0.999999999875,0.999999999875,0.999999999375
228,0407_frame_0228.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
234,0407_frame_0234.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
240,0407_frame_0240.jpg,8,5,4,1,4,0.79999999984,0.4999999999375,0.615384614816568
246,0407_frame_0246.jpg,8,6,5,1,3,0.8333333331944445,0.624999999921875,0.7142857136938775
252,0407_frame_0252.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
258,0407_frame_0258.jpg,7,6,5,1,2,0.8333333331944445,0.7142857141836735,0.7692307686153846
264,0407_frame_0264.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
270,0407_frame_0270.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
276,0407_frame_0276.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
282,0407_frame_0282.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
288,0407_frame_0288.jpg,7,6,5,1,2,0.8333333331944445,0.7142857141836735,0.7692307686153846
294,0407_frame_0294.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
300,0407_frame_0300.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
306,0407_frame_0306.jpg,7,6,5,1,2,0.8333333331944445,0.7142857141836735,0.7692307686153846
312,0407_frame_0312.jpg,7,6,6,0,1,0.9999999998333333,0.8571428570204082,0.9230769224378698
318,0407_frame_0318.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
324,0407_frame_0324.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
330,0407_frame_0330.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
