frame_idx,file_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1
30,0407_frame_0030.jpg,6,3,3,0,3,0.9999999996666666,0.49999999991666666,0.666666666074074
36,0407_frame_0036.jpg,6,4,4,0,2,0.99999999975,0.6666666665555555,0.79999999936
42,0407_frame_0042.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
48,0407_frame_0048.jpg,8,5,5,0,3,0.9999999998,0.624999999921875,0.7692307686390533
54,0407_frame_0054.jpg,9,6,6,0,3,0.9999999998333333,0.6666666665925925,0.7999999994133333
60,0407_frame_0060.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
66,0407_frame_0066.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
72,0407_frame_0072.jpg,8,5,5,0,3,0.9999999998,0.624999999921875,0.7692307686390533
78,0407_frame_0078.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
84,0407_frame_0084.jpg,9,5,5,0,4,0.9999999998,0.5555555554938272,0.7142857137244898
90,0407_frame_0090.jpg,9,6,6,0,3,0.9999999998333333,0.6666666665925925,0.7999999994133333
96,0407_frame_0096.jpg,8,7,6,1,2,0.8571428570204082,0.74999999990625,0.7999999993955555
102,0407_frame_0102.jpg,8,7,7,0,1,0.9999999998571428,0.874999999890625,0.9333333327111111
108,0407_frame_0108.jpg,7,7,7,0,0,0.9999999998571428,0.9999999998571428,0.9999999993571429
114,0407_frame_0114.jpg,8,7,7,0,1,0.9999999998571428,0.874999999890625,0.9333333327111111
120,0407_frame_0120.jpg,8,7,7,0,1,0.9999999998571428,0.874999999890625,0.9333333327111111
126,0407_frame_0126.jpg,8,7,7,0,1,0.9999999998571428,0.874999999890625,0.9333333327111111
132,0407_frame_0132.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
138,0407_frame_0138.jpg,9,6,6,0,3,0.9999999998333333,0.6666666665925925,0.7999999994133333
144,0407_frame_0144.jpg,9,6,6,0,3,0.9999999998333333,0.6666666665925925,0.7999999994133333
150,0407_frame_0150.jpg,7,7,6,1,1,0.8571428570204082,0.8571428570204082,0.857142856520408
156,0407_frame_0156.jpg,8,7,6,1,2,0.8571428570204082,0.74999999990625,0.7999999993955555
162,0407_frame_0162.jpg,9,6,6,0,3,0.9999999998333333,0.6666666665925925,0.7999999994133333
168,0407_frame_0168.jpg,9,8,8,0,1,0.999999999875,0.8888888887901234,0.9411764699792387
174,0407_frame_0174.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
180,0407_frame_0180.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
186,0407_frame_0186.jpg,11,7,7,0,4,0.9999999998571428,0.6363636363057851,0.7777777772160493
192,0407_frame_0192.jpg,10,6,6,0,4,0.9999999998333333,0.59999999994,0.7499999994374998
198,0407_frame_0198.jpg,10,6,6,0,4,0.9999999998333333,0.59999999994,0.7499999994374998
204,0407_frame_0204.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
210,0407_frame_0210.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
216,0407_frame_0216.jpg,8,5,5,0,3,0.9999999998,0.624999999921875,0.7692307686390533
222,0407_frame_0222.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
228,0407_frame_0228.jpg,9,3,3,0,6,0.9999999996666666,0.3333333332962963,0.49999999954166663
234,0407_frame_0234.jpg,8,3,3,0,5,0.9999999996666666,0.374999999953125,0.5454545449586776
240,0407_frame_0240.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
246,0407_frame_0246.jpg,8,3,3,0,5,0.9999999996666666,0.374999999953125,0.5454545449586776
252,0407_frame_0252.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
258,0407_frame_0258.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
264,0407_frame_0264.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
270,0407_frame_0270.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
276,0407_frame_0276.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
282,0407_frame_0282.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
288,0407_frame_0288.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
294,0407_frame_0294.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
300,0407_frame_0300.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
306,0407_frame_0306.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
312,0407_frame_0312.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
318,0407_frame_0318.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
324,0407_frame_0324.jpg,7,2,2,0,5,0.9999999995,0.2857142856734694,0.444444444
330,0407_frame_0330.jpg,7,2,2,0,5,0.9999999995,0.2857142856734694,0.444444444
