frame_idx,file_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1
30,0407_frame_0030.jpg,6,5,3,2,3,0.59999999988,0.49999999991666666,0.5454545448595041
36,0407_frame_0036.jpg,6,4,3,1,3,0.7499999998125,0.49999999991666666,0.5999999993999999
42,0407_frame_0042.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
48,0407_frame_0048.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
54,0407_frame_0054.jpg,9,3,3,0,6,0.9999999996666666,0.3333333332962963,0.49999999954166663
60,0407_frame_0060.jpg,9,5,5,0,4,0.9999999998,0.5555555554938272,0.7142857137244898
66,0407_frame_0066.jpg,8,5,4,1,4,0.79999999984,0.4999999999375,0.615384614816568
72,0407_frame_0072.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
78,0407_frame_0078.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
84,0407_frame_0084.jpg,9,5,5,0,4,0.9999999998,0.5555555554938272,0.7142857137244898
90,0407_frame_0090.jpg,9,6,5,1,4,0.8333333331944445,0.5555555554938272,0.6666666660977778
96,0407_frame_0096.jpg,8,9,7,2,1,0.777777777691358,0.874999999890625,0.8235294111695501
102,0407_frame_0102.jpg,8,10,7,3,1,0.69999999993,0.874999999890625,0.7777777771975308
108,0407_frame_0108.jpg,7,7,7,0,0,0.9999999998571428,0.9999999998571428,0.9999999993571429
114,0407_frame_0114.jpg,8,8,8,0,0,0.999999999875,0.999999999875,0.999999999375
120,0407_frame_0120.jpg,8,7,7,0,1,0.9999999998571428,0.874999999890625,0.9333333327111111
126,0407_frame_0126.jpg,8,8,7,1,1,0.874999999890625,0.874999999890625,0.8749999993906251
132,0407_frame_0132.jpg,9,8,8,0,1,0.999999999875,0.8888888887901234,0.9411764699792387
138,0407_frame_0138.jpg,9,7,7,0,2,0.9999999998571428,0.777777777691358,0.8749999993984374
144,0407_frame_0144.jpg,9,7,6,1,3,0.8571428570204082,0.6666666665925925,0.7499999994140625
150,0407_frame_0150.jpg,7,7,6,1,1,0.8571428570204082,0.8571428570204082,0.857142856520408
156,0407_frame_0156.jpg,8,8,6,2,2,0.74999999990625,0.74999999990625,0.7499999994062501
162,0407_frame_0162.jpg,9,8,7,1,2,0.874999999890625,0.777777777691358,0.8235294111695501
168,0407_frame_0168.jpg,9,8,7,1,2,0.874999999890625,0.777777777691358,0.8235294111695501
174,0407_frame_0174.jpg,8,8,7,1,1,0.874999999890625,0.874999999890625,0.8749999993906251
180,0407_frame_0180.jpg,9,7,6,1,3,0.8571428570204082,0.6666666665925925,0.7499999994140625
186,0407_frame_0186.jpg,11,8,7,1,4,0.874999999890625,0.6363636363057851,0.736842104698061
192,0407_frame_0192.jpg,10,8,6,2,4,0.74999999990625,0.59999999994,0.6666666660987655
198,0407_frame_0198.jpg,10,7,6,1,4,0.8571428570204082,0.59999999994,0.7058823523737023
204,0407_frame_0204.jpg,8,8,7,1,1,0.874999999890625,0.874999999890625,0.8749999993906251
210,0407_frame_0210.jpg,8,7,7,0,1,0.9999999998571428,0.874999999890625,0.9333333327111111
216,0407_frame_0216.jpg,8,6,6,0,2,0.9999999998333333,0.74999999990625,0.8571428565306122
222,0407_frame_0222.jpg,8,4,4,0,4,0.99999999975,0.4999999999375,0.666666666111111
228,0407_frame_0228.jpg,9,5,5,0,4,0.9999999998,0.5555555554938272,0.7142857137244898
234,0407_frame_0234.jpg,8,3,3,0,5,0.9999999996666666,0.374999999953125,0.5454545449586776
240,0407_frame_0240.jpg,8,3,3,0,5,0.9999999996666666,0.374999999953125,0.5454545449586776
246,0407_frame_0246.jpg,8,3,3,0,5,0.9999999996666666,0.374999999953125,0.5454545449586776
252,0407_frame_0252.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
258,0407_frame_0258.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
264,0407_frame_0264.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
270,0407_frame_0270.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
276,0407_frame_0276.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
282,0407_frame_0282.jpg,7,4,3,1,4,0.7499999998125,0.4285714285102041,0.545454544892562
288,0407_frame_0288.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
294,0407_frame_0294.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
300,0407_frame_0300.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
306,0407_frame_0306.jpg,7,4,4,0,3,0.99999999975,0.5714285713469388,0.7272727266776859
312,0407_frame_0312.jpg,7,5,5,0,2,0.9999999998,0.7142857141836735,0.8333333327083333
318,0407_frame_0318.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
324,0407_frame_0324.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
330,0407_frame_0330.jpg,7,3,3,0,4,0.9999999996666666,0.4285714285102041,0.5999999994599999
